site_history_id,work_site_id,site_event_id,year_of_record,month_of_record,day_of_record,record_date,locatcd,site_owner,site_type,site_status
1,50001,,1996,,,,AAC,,,
2,50001,,1997,,,,AAC,,,
3,50001,,1998,,,,AAC,,,
4,50001,,1999,,,,AAC,,,
5,50001,,2000,,,,AAC,,,
6,50001,,2001,,,,AAC,,,
7,50001,,2002,,,,AAC,,,
8,50001,,2003,,,,AAC,,,
9,50001,,2004,,,,AAC,,,
10,50001,,2005,,,,AAC,,,
11,50001,,2006,,,,AAC,,,
12,50001,,2007,,,,AAC,,,
13,50001,,2008,,,,AAC,,,
14,50001,,2009,,,,AAC,,,
15,50001,,2010,,,,AAC,,,
16,50001,,2011,,,,AAC,,,
17,50001,,2012,,,,AAC,,,
18,50001,,2013,,,,AAC,Alcoa,Corporate Office,Active
19,50002,,1996,,,,AAY,,,
20,50002,,1997,,,,AAY,,,
21,50002,,1998,,,,AAY,,,
22,50002,,1999,,,,AAY,,,
23,50002,,2000,,,,AAY,,,
24,50002,,2001,,,,AAY,,,
25,50002,,2002,,,,AAY,,,
26,50002,,2003,,,,AAY,,,
27,50002,,2004,,,,AAY,,,
28,50002,,2005,,,,AAY,,,
29,50002,,2006,,,,AAY,,,
30,50002,,2007,,,,AAY,,,
31,50002,,2008,,,,AAY,,,
32,50002,,2009,,,,AAY,,,
33,50002,,2010,,,,AAY,,,
34,50002,,2011,,,,AAY,,,
35,50002,,2012,,,,AAY,,,
36,50002,,2013,,,,AAY,Alcoa,Factory,Active
37,50003,,1996,,,,ABY,,,
38,50003,,1997,,,,ABY,,,
39,50003,,1998,,,,ABY,,,
40,50003,,1999,,,,ABY,,,
41,50003,,2000,,,,ABY,,,
42,50003,,2001,,,,ABY,,,
43,50003,,2002,,,,ABY,,,
44,50003,,2003,,,,ABY,,,
45,50003,,2004,,,,ABY,,,
46,50003,,2005,,,,ABY,,,
47,50003,,2006,,,,ABY,,,
48,50003,,2007,,,,ABY,,,
49,50003,,2008,,,,ABY,,,
50,50003,,2009,,,,ABY,,,
51,50003,,2010,,,,ABY,,,
52,50003,,2011,,,,ABY,,,
53,50003,,2012,,,,ABY,,,
54,50003,,2013,,,,ABY,Alcoa,Factory,Active
55,50004,,1996,,,,ACU,,,
56,50004,,1997,,,,ACU,,,
57,50004,,1998,,,,ACU,,,
58,50004,,1999,,,,ACU,,,
59,50004,,2000,,,,ACU,,,
60,50004,,2001,,,,ACU,,,
61,50004,,2002,,,,ACU,,,
62,50004,,2003,,,,ACU,,,
63,50004,,2004,,,,ACU,,,
64,50004,,2005,,,,ACU,,,
65,50004,,2006,,,,ACU,,,
66,50004,,2007,,,,ACU,,,
67,50004,,2008,,,,ACU,,,
68,50004,,2009,,,,ACU,,,
69,50004,,2010,,,,ACU,,,
70,50004,,2011,,,,ACU,,,
71,50004,,2012,,,,ACU,,,
72,50004,,2013,,,,ACU,Alcoa,Factory,Active
73,50005,,1996,,,,ADD,,,
74,50005,,1997,,,,ADD,,,
75,50005,,1998,,,,ADD,,,
76,50005,,1999,,,,ADD,,,
77,50005,,2000,,,,ADD,,,
78,50005,,2001,,,,ADD,,,
79,50005,,2002,,,,ADD,,,
80,50005,,2003,,,,ADD,,,
81,50005,,2004,,,,ADD,,,
82,50005,,2005,,,,ADD,,,
83,50005,,2006,,,,ADD,,,
84,50005,,2007,,,,ADD,,,
85,50005,,2008,,,,ADD,,,
86,50005,,2009,,,,ADD,,,
87,50005,,2010,,,,ADD,,,
88,50005,,2011,,,,ADD,,,
89,50005,,2012,,,,ADD,,,
90,50005,,2013,,,,ADD,Alcoa,Factory,Active
91,50006,,1996,,,,ADM,,,
92,50006,,1997,,,,ADM,,,
93,50006,,1998,,,,ADM,,,
94,50006,,1999,,,,ADM,,,
95,50006,,2000,,,,ADM,,,
96,50006,,2001,,,,ADM,,,
97,50006,,2002,,,,ADM,,,
98,50006,,2003,,,,ADM,,,
99,50006,,2004,,,,ADM,,,
