"work_site_id","location_id","work_site_source_value","address_1","address_2","city","state","zip","county","location_source_value"
50001,40001,"AAC",,,"Independence","OH",,,"US AAC Independence,Ohio"
50002,40002,"AAY",,,"Arkadelphia","AR",,,"US AAY Arkadelphia, AR"
50003,40003,"ABY",,,"Arkadelphia","AR",,,"US ABY Arkadelphia, AR"
50004,40004,"ACU",,,"Acuna",,,,"US ACU Acuna, Mexico"
50005,40005,"ADD",,,"Addy","WA",,,"US ADD Addy, Washington"
50006,40006,"ADM",,,"El Paso","TX",,,"US ADM El Paso, Texas"
50007,40007,"AFN",,,"Afton","NY",,,"US AFN Afton, New York"
50008,40008,"AGA",,,"Alpharetta","GA",,,"US AGA Alpharetta, Georgia"
50009,40009,"AGH",,,"Atlanta","GA",,,"US AGH Atlanta,Georgia"
50010,40010,"AGX",,,"Atlanta","GA",,,"US AGX Atlanta, Georgia"
50011,40011,"AGY",,,"Atlanta","GA",,,"US AGY Atlanta, Georgia"
50012,40012,"AIY",,,"Auburn","IN",,,"US AIY Auburn, Indiana"
50013,40013,"AJY",,,"Avenel","NJ",,,"US AJY Avenel, New Jersey"
50014,40014,"AKY",,,"Amersham",,,,"US AKY Amersham, GBR"
50015,40015,"ALC",,,,"TN",,,"US ALC Alcoa, Tennessee"
50016,40016,"ALI",,,"Alicante",,,,"US ALI Alicante, Spain"
50017,40017,"ALP",,,"Alpharetta","GA",,,"US ALP Alpharetta, Georgia"
50018,40018,"ALQ",,,,,,,"US ALQ Retiree Default-Aliquant"
50019,40019,"ALS",,,"Allentown","PA",,,"US ALS Allentown, Pennsylvania"
50020,40020,"ALT",,,"Alta Loma","CA",,,"US ALT Alta Loma, California"
50021,40021,"AMO",,,"Amorebieta",,,,"US AMO Amorebieta, Spain"
50022,40022,"AMY",,,"Amityville","NY",,,"US AMY Amityville, New York"
50023,40023,"ANG",,,"Anglesea",,,,"US ANG Anglesea,Victoria,Australia"
50024,40024,"APK",,,"Altoona","PA",,,"US APK Altoona, Pennsylvania"
50025,40025,"APV",,,"Alphaville",,,,"US APV Alphaville, Brazil"
50026,40026,"ARY",,,"Armonk","NY",,,"US ARY Armonk, New York"
50027,40027,"ATC",,,,"PA",,,"US ATC Alcoa Center, Pennsylvania"
50028,40028,"ATL",,,"Atlanta","GA",,,"US ATL Atlanta, Georgia"
50029,40029,"ATY",,,"Atlanta","GA",,,"US ATY Atlanta, Georgia"
50030,40030,"AUB",,,"Auburn","WA",,,"US AUB Auburn, Washington"
50031,40031,"AUX",,,"Atlanta","GA",,,"US AUX Atlanta Service Center"
50032,40032,"AUY",,,"Austell","GA",,,"US AUY Austell, Georgia"
50033,40033,"AVS",,,"Aviles",,,,"US AVS Aviles, Spain"
50034,40034,"AVY",,,"Ashland","VA",,,"US AVY Ashland, Virginia"
50035,40035,"AWP",,,"Appleton","WI",,,"US AWP Appleton, Wisconsin"
50036,40036,"AXY",,,"Ashland","VA",,,"US AXY Ashland, Virginia"
50037,40037,"BAD",,,"Badin","NC",,,"US BAD Badin, North Carolina"
50038,40038,"BAL",,,"Baltimore","MD",,,"US BAL Baltimore, Maryland"
50039,40039,"BAN",,,"Banbury",,,,"US BAN Banbury, United Kingdom"
50040,40040,"BAR",,,"Barcelona",,,,"US BAR Barcelona, Spain"
50041,40041,"BAU",,,"Bauxite","AR",,,"US BAU Bauxite, Arkansas"
50042,40042,"BAX",,,"Bauxite","AR",,,"US BAX Bauxite, Arkansas"
50043,40043,"BAY",,,"Bauxite","AR",,,"US BAY Bauxite, Arkansas"
50044,40044,"BCH",,,"Branford","CT",,,"US BCH Branford, Conneticut"
50045,40045,"BCU",,,"Brigham City","UT",,,"US BCU Brigham City, Utah"
50046,40046,"BCX",,,"Billerica","MA",,,"US BCX Billerica, Massachusetts"
50047,40047,"BCY",,,"Beacon Falls","CT",,,"US BCY Beacon Falls, Connecticut"
50048,40048,"BEC",,,"Becancour",,,,"US BEC Becancour, Quebec, Canada"
50049,40049,"BEI",,,"Beijing",,,,"US BEI Beijing, China"
50050,40050,"BFY",,,"Bradenton","FL",,,"US BFY Bradenton, Florida"
50051,40051,"BIE",,,"Birmingham",,,,"US BIE Birmingham, England"
50052,40052,"BIX",,,"Bristol","IN",,,"US BIX Bristol, Indiana"
50053,40053,"BIY",,,"Birmingham","AL",,,"US BIY Birmingham, Alabama"
50054,40054,"BKR",,,"Belaya Kalitva",,,,"US BKR Belaya Kalitva, Russia"
50055,40055,"BLT",,,"Burlington","VT",,,"US BLT Burlington, Vermont"
50056,40056,"BLY",,,"Baton Rouge","LA",,,"US BLY Baton Rouge, Louisiana"
